40,0.13
26,0.059
33,0.06
24,0.042
36,0.072
35,0.145
35,0.052
31,0.037
32,0.063
35,0.04
30,0.043
39,0.069
33,0.075
36,0.111
31,0.132
34,0.092
28,0.039
33,0.051
35,0.108
30,0.044
32,0.073
30,0.076
26,0.062
37,0.089
23,0.056
35,0.103
47,0.166
36,0.079
26,0.033
38,0.053
26,0.039
38,0.126
44,0.074
29,0.033
42,0.11
37,0.091
31,0.051
35,0.036
36,0.133
39,0.057
26,0.071
39,0.091
35,0.157
33,0.073
38,0.062
42,0.105
41,0.075
23,0.013
39,0.081
34,0.05
26,0.051
26,0.034
44,0.176
33,0.142
33,0.042
44,0.07
41,0.205
30,0.09
43,0.089
38,0.052
41,0.09
29,0.06
26,0.044
30,0.076
30,0.054
25,0.048
34,0.135
34,0.059
33,0.161
34,0.039
37,0.07
41,0.067
25,0.027
36,0.088
30,0.074
45,0.145
35,0.082
25,0.064
32,0.076
30,0.08
30,0.048
33,0.078
37,0.066
28,0.123
30,0.091
34,0.049
36,0.086
39,0.072
36,0.051
40,0.095
39,0.071
27,0.045
27,0.039
39,0.073
33,0.088
36,0.086
35,0.07
35,0.061
24,0.145
34,0.054
